No,Age,Education,Industry,Experience ,Marital Status,Own House,Dependents,Income,Loan Affordability
30898,28,Doctorate,Construction ,6,SINGLE,YES,0,78494.85002,YES
30908,29,Bachelor,Energy ,9,SINGLE,NO,0,82494.85002,YES
30918,41,Bachelor,Construction ,21,MARRIED,YES,3,82494.85002,NO
30927,27,No schooling,Arts & Media,9,SINGLE,YES,3,85494.85002,YES
30933,28,Doctorate,Education ,6,MARRIED,NO,0,87494.85002,YES
30937,30,Master,Construction ,9,MARRIED,NO,3,90494.85002,NO
30939,54,High School,Fishing ,35,SINGLE,YES,0,84494.85002,YES
30941,33,High School,Fishing ,14,SINGLE,NO,0,67494.85002,NO
30956,41,Bachelor,Agriculture,21,SINGLE,NO,1,94494.85002,YES
30958,35,Master,Construction ,14,SINGLE,YES,3,74494.85002,YES
30964,49,Doctorate,Agriculture,27,SINGLE,NO,0,91494.85002,NO
30973,33,Doctorate,Construction ,11,MARRIED,YES,1,90494.85002,YES
30983,52,Bachelor,Energy ,32,MARRIED,NO,2,67494.85002,YES
30993,26,Bachelor,Construction ,6,SINGLE,YES,3,89494.85002,NO
31002,46,No schooling,Arts & Media,28,SINGLE,YES,0,72494.85002,YES
31008,35,Doctorate,Education ,13,MARRIED,NO,2,92494.85002,NO
31012,32,Master,Construction ,11,MARRIED,YES,3,82494.85002,NO
31014,42,High School,Fishing ,23,SINGLE,YES,1,61494.85002,YES
31016,49,High School,Fishing ,30,SINGLE,NO,1,91494.85002,YES
31031,47,Bachelor,Agriculture,27,SINGLE,YES,2,64494.85002,YES
31033,32,Master,Construction ,11,SINGLE,NO,2,87494.85002,YES
31039,47,Doctorate,Agriculture,25,MARRIED,YES,0,70494.85002,YES
31048,37,Doctorate,Construction ,15,MARRIED,NO,3,94494.85002,NO
31058,34,Bachelor,Energy ,14,MARRIED,YES,1,68494.85002,YES
31068,51,Bachelor,Construction ,31,MARRIED,YES,3,74494.85002,NO
31077,40,No schooling,Arts & Media,22,MARRIED,YES,1,77494.85002,YES
31083,29,Doctorate,Education ,7,MARRIED,NO,1,100494.85,NO
31087,33,Master,Construction ,12,SINGLE,NO,3,91494.85002,NO
31089,31,High School,Fishing ,12,SINGLE,NO,0,84494.85002,YES
31091,44,High School,Fishing ,25,SINGLE,NO,3,78494.85002,YES
31106,38,Bachelor,Agriculture,18,MARRIED,NO,0,90494.85002,YES
31108,46,Master,Construction ,25,MARRIED,NO,0,77494.85002,NO
31114,53,Doctorate,Agriculture,31,SINGLE,YES,0,93494.85002,NO
31123,36,Doctorate,Construction ,14,MARRIED,YES,0,86494.85002,YES
31133,33,Bachelor,Energy ,13,SINGLE,NO,1,92494.85002,YES
31143,47,Bachelor,Construction ,27,MARRIED,YES,1,81494.85002,NO
31152,55,No schooling,Arts & Media,37,MARRIED,NO,0,74494.85002,NO
31158,51,Doctorate,Education ,29,MARRIED,NO,3,78494.85002,NO
31162,40,Master,Construction ,19,SINGLE,YES,3,70494.85002,YES
31164,44,High School,Fishing ,25,MARRIED,YES,3,74494.85002,NO
31166,43,High School,Fishing ,24,SINGLE,YES,0,71494.85002,NO
31181,30,Bachelor,Agriculture,10,SINGLE,NO,0,70494.85002,NO
31183,27,Master,Construction ,6,MARRIED,NO,3,72494.85002,NO
31189,41,Doctorate,Agriculture,19,SINGLE,NO,1,74494.85002,YES
31198,43,Doctorate,Construction ,21,MARRIED,NO,1,95494.85002,YES
31208,29,Bachelor,Energy ,9,MARRIED,YES,2,80494.85002,YES
31218,30,Bachelor,Construction ,10,SINGLE,YES,2,72494.85002,NO
31227,45,No schooling,Arts & Media,27,SINGLE,NO,3,66494.85002,YES
31233,43,Doctorate,Education ,21,SINGLE,NO,3,88494.85002,NO
31237,50,Master,Construction ,29,MARRIED,NO,0,93494.85002,YES
31239,45,High School,Fishing ,26,SINGLE,NO,0,85494.85002,NO
31241,35,High School,Fishing ,16,SINGLE,NO,2,84494.85002,YES
31256,35,Bachelor,Agriculture,15,SINGLE,NO,2,94494.85002,YES
31258,30,Master,Construction ,9,SINGLE,YES,3,76494.85002,NO
31264,39,Doctorate,Agriculture,17,SINGLE,YES,2,100494.85,YES
31273,41,Doctorate,Construction ,19,SINGLE,YES,3,73494.85002,NO
31283,49,Bachelor,Energy ,29,SINGLE,YES,0,82494.85002,YES
31293,40,Bachelor,Construction ,20,SINGLE,NO,2,79494.85002,YES
31302,43,No schooling,Arts & Media,25,SINGLE,YES,2,78494.85002,YES
31308,35,Doctorate,Education ,13,SINGLE,YES,0,100494.85,NO
31312,53,Master,Construction ,32,SINGLE,NO,0,79494.85002,YES
31314,34,High School,Fishing ,15,SINGLE,NO,3,92494.85002,NO
31316,47,High School,Fishing ,28,MARRIED,YES,2,83494.85002,NO
31331,37,Bachelor,Agriculture,17,SINGLE,NO,0,93494.85002,YES
31333,53,Master,Construction ,32,MARRIED,YES,3,88494.85002,NO
31339,38,Doctorate,Agriculture,16,MARRIED,NO,1,95494.85002,NO
31348,51,Doctorate,Construction ,29,SINGLE,YES,3,84494.85002,YES
31358,27,Bachelor,Energy ,7,SINGLE,NO,3,99494.85002,NO
31368,29,Bachelor,Construction ,9,SINGLE,YES,1,84494.85002,YES
31377,26,No schooling,Arts & Media,8,SINGLE,YES,3,78494.85002,NO
31383,51,Doctorate,Education ,29,SINGLE,NO,3,67494.85002,NO
31387,52,Master,Construction ,31,SINGLE,YES,1,89494.85002,NO
31389,27,High School,Fishing ,8,SINGLE,NO,2,78494.85002,NO
31391,28,High School,Fishing ,9,MARRIED,NO,0,79494.85002,NO
31406,42,Bachelor,Agriculture,22,SINGLE,NO,3,99494.85002,NO
31408,50,Master,Construction ,29,MARRIED,YES,1,87494.85002,NO
31414,51,Doctorate,Agriculture,29,SINGLE,YES,3,96494.85002,NO
31423,41,Doctorate,Construction ,19,SINGLE,NO,3,92494.85002,NO
31433,32,Bachelor,Energy ,12,SINGLE,NO,3,89494.85002,NO
31443,45,Bachelor,Construction ,25,SINGLE,YES,2,83494.85002,YES
31452,32,No schooling,Arts & Media,14,SINGLE,YES,3,70494.85002,YES
31458,37,Doctorate,Education ,15,SINGLE,NO,3,74494.85002,NO
31462,32,Master,Construction ,11,SINGLE,YES,1,90494.85002,NO
31464,44,High School,Fishing ,25,SINGLE,NO,0,92494.85002,YES
31466,48,High School,Fishing ,29,SINGLE,NO,1,62494.85002,NO
31481,34,Bachelor,Agriculture,14,SINGLE,NO,0,87494.85002,YES
31483,30,Master,Construction ,9,MARRIED,NO,0,91494.85002,NO
31489,34,Doctorate,Agriculture,12,SINGLE,NO,2,91494.85002,NO
31498,39,Doctorate,Construction ,17,SINGLE,NO,1,78494.85002,NO
31508,51,Bachelor,Energy ,31,SINGLE,YES,2,90494.85002,YES
31518,32,Bachelor,Construction ,12,MARRIED,NO,3,98494.85002,NO
31527,33,No schooling,Arts & Media,15,SINGLE,NO,0,76494.85002,NO
31533,50,Doctorate,Education ,28,MARRIED,YES,3,92494.85002,NO
31537,43,Master,Construction ,22,SINGLE,YES,1,85494.85002,YES
31539,49,High School,Fishing ,30,SINGLE,YES,2,66494.85002,NO
31541,30,High School,Fishing ,11,SINGLE,NO,2,83494.85002,NO
31556,47,Bachelor,Agriculture,27,SINGLE,YES,0,68494.85002,NO
31558,53,Master,Construction ,32,SINGLE,NO,1,83494.85002,NO
31564,25,Doctorate,Agriculture,3,MARRIED,YES,2,96494.85002,NO
31573,44,Doctorate,Construction ,22,MARRIED,NO,1,75494.85002,NO
31583,30,Bachelor,Energy ,10,MARRIED,YES,0,83494.85002,NO
31593,54,Bachelor,Construction ,34,SINGLE,NO,3,73494.85002,YES
31602,47,No schooling,Arts & Media,29,SINGLE,NO,3,82494.85002,NO
31608,47,Doctorate,Education ,25,SINGLE,YES,1,79494.85002,NO
31612,27,Master,Construction ,6,SINGLE,YES,3,65494.85002,YES
31614,49,High School,Fishing ,30,MARRIED,YES,2,89494.85002,YES
31616,39,High School,Fishing ,20,MARRIED,YES,3,62494.85002,NO
31631,29,Bachelor,Agriculture,9,SINGLE,NO,3,69494.85002,NO
31633,26,Master,Construction ,5,SINGLE,NO,0,77494.85002,YES
31639,44,Doctorate,Agriculture,22,SINGLE,YES,3,77494.85002,YES
31648,45,Doctorate,Construction ,23,SINGLE,NO,3,86494.85002,NO
31658,53,Bachelor,Energy ,33,SINGLE,NO,1,78494.85002,NO
31668,29,Bachelor,Construction ,9,MARRIED,NO,1,80494.85002,YES
31677,29,No schooling,Arts & Media,11,SINGLE,YES,3,67494.85002,YES
31683,33,Doctorate,Education ,11,SINGLE,YES,2,91494.85002,YES
31687,37,Master,Construction ,16,SINGLE,YES,0,77494.85002,NO
31689,38,High School,Fishing ,19,MARRIED,NO,2,85494.85002,NO
31691,48,High School,Fishing ,29,SINGLE,YES,1,87494.85002,YES
31706,27,Bachelor,Agriculture,7,SINGLE,NO,2,97494.85002,NO
31708,40,Master,Construction ,19,SINGLE,YES,2,73494.85002,YES
31714,54,Doctorate,Agriculture,32,SINGLE,NO,3,88494.85002,YES
31723,35,Doctorate,Construction ,13,MARRIED,NO,2,77494.85002,YES
31733,27,Bachelor,Energy ,7,MARRIED,YES,2,96494.85002,NO
31743,30,Bachelor,Construction ,10,MARRIED,YES,1,89494.85002,NO
31752,31,No schooling,Arts & Media,13,MARRIED,NO,0,56494.85002,YES
31758,49,Doctorate,Education ,27,SINGLE,NO,2,96494.85002,YES
31762,46,Master,Construction ,25,SINGLE,NO,1,88494.85002,YES
31764,38,High School,Fishing ,19,MARRIED,YES,0,85494.85002,NO
31766,46,High School,Fishing ,27,MARRIED,NO,0,60494.85002,NO
31781,48,Bachelor,Agriculture,28,SINGLE,YES,2,90494.85002,NO
31783,52,Master,Construction ,31,SINGLE,YES,2,78494.85002,NO
31789,33,Doctorate,Agriculture,11,MARRIED,YES,0,71494.85002,NO
31798,45,Doctorate,Construction ,23,SINGLE,NO,0,88494.85002,NO
31808,44,Bachelor,Energy ,24,MARRIED,NO,2,88494.85002,NO
31818,28,Bachelor,Construction ,8,MARRIED,YES,3,71494.85002,YES
31827,54,No schooling,Arts & Media,36,MARRIED,NO,3,86494.85002,NO
31833,49,Doctorate,Education ,27,SINGLE,YES,2,83494.85002,YES
31837,53,Master,Construction ,32,MARRIED,YES,3,86494.85002,NO
31839,53,High School,Fishing ,34,MARRIED,NO,2,65494.85002,NO
31841,53,High School,Fishing ,34,SINGLE,YES,1,72494.85002,YES
31856,45,Bachelor,Agriculture,25,MARRIED,YES,0,85494.85002,NO
31858,42,Master,Construction ,21,SINGLE,YES,0,83494.85002,NO
31864,34,Doctorate,Agriculture,12,SINGLE,NO,0,67494.85002,NO
31873,44,Doctorate,Construction ,22,SINGLE,YES,2,92494.85002,YES
31883,54,Bachelor,Energy ,34,SINGLE,NO,2,78494.85002,NO
31893,28,Bachelor,Construction ,8,SINGLE,YES,2,62494.85002,NO
31902,42,No schooling,Arts & Media,24,SINGLE,YES,0,67494.85002,NO
31908,31,Doctorate,Education ,9,SINGLE,YES,3,92494.85002,YES
31912,45,Master,Construction ,24,MARRIED,YES,0,95494.85002,YES
31914,34,High School,Fishing ,15,SINGLE,NO,0,81494.85002,NO
31916,47,High School,Fishing ,28,SINGLE,NO,3,69494.85002,NO
31931,48,Bachelor,Agriculture,28,SINGLE,NO,0,74494.85002,YES
31933,29,Master,Construction ,8,SINGLE,NO,3,92494.85002,NO
31939,25,Doctorate,Agriculture,3,SINGLE,NO,0,73494.85002,NO
31948,40,Doctorate,Construction ,18,SINGLE,NO,0,84494.85002,YES
31958,50,Bachelor,Energy ,30,SINGLE,NO,0,67494.85002,YES
31968,26,Bachelor,Construction ,6,MARRIED,NO,2,89494.85002,NO
31977,39,No schooling,Arts & Media,21,SINGLE,NO,3,82494.85002,NO
31983,32,Doctorate,Education ,10,MARRIED,NO,1,73494.85002,NO
31987,48,Master,Construction ,27,SINGLE,NO,2,78494.85002,NO
31989,50,High School,Fishing ,31,SINGLE,NO,2,67494.85002,NO
31991,30,High School,Fishing ,11,SINGLE,YES,3,67494.85002,NO
32006,38,Bachelor,Agriculture,18,SINGLE,NO,0,87494.85002,YES
32008,54,Master,Construction ,33,SINGLE,NO,3,89494.85002,YES
32014,40,Doctorate,Agriculture,18,MARRIED,NO,1,83494.85002,NO
32023,55,Doctorate,Construction ,33,SINGLE,NO,2,77494.85002,NO
32033,50,Bachelor,Energy ,30,MARRIED,YES,1,83494.85002,NO
32043,49,Bachelor,Construction ,29,SINGLE,YES,2,83494.85002,NO
32052,29,No schooling,Arts & Media,11,SINGLE,NO,1,64494.85002,NO
32058,37,Doctorate,Education ,15,MARRIED,YES,1,88494.85002,NO
32062,43,Master,Construction ,22,MARRIED,NO,0,81494.85002,NO
32064,40,High School,Fishing ,21,SINGLE,YES,2,71494.85002,NO
32066,26,High School,Fishing ,7,SINGLE,YES,0,80494.85002,NO
32081,42,Bachelor,Agriculture,22,MARRIED,NO,0,68494.85002,YES
32083,50,Master,Construction ,29,SINGLE,NO,0,76494.85002,YES
32089,54,Doctorate,Agriculture,32,SINGLE,YES,2,73494.85002,NO
32098,41,Doctorate,Construction ,19,SINGLE,NO,3,76494.85002,YES
32108,32,Bachelor,Energy ,12,SINGLE,NO,0,81494.85002,YES
32118,32,Bachelor,Construction ,12,SINGLE,NO,0,87494.85002,NO
32127,43,No schooling,Arts & Media,25,SINGLE,NO,1,69494.85002,NO
32133,29,Doctorate,Education ,7,MARRIED,YES,1,92494.85002,YES
32137,37,Master,Construction ,16,MARRIED,YES,2,92494.85002,NO
32139,26,High School,Fishing ,7,SINGLE,NO,2,69494.85002,NO
32141,48,High School,Fishing ,29,SINGLE,YES,2,80494.85002,NO
32156,29,Bachelor,Agriculture,9,SINGLE,NO,2,77494.85002,NO
32158,54,Master,Construction ,33,SINGLE,YES,0,75494.85002,YES
32164,49,Doctorate,Agriculture,27,SINGLE,YES,3,82494.85002,NO
32173,26,Doctorate,Construction ,4,SINGLE,YES,3,103494.85,NO
32183,42,Bachelor,Energy ,22,SINGLE,YES,0,73494.85002,NO
32193,50,Bachelor,Construction ,30,SINGLE,YES,0,77494.85002,YES
32202,40,No schooling,Arts & Media,22,SINGLE,NO,3,67494.85002,NO
32208,55,Doctorate,Education ,33,MARRIED,YES,2,97494.85002,NO
32212,34,Master,Construction ,13,MARRIED,NO,2,79494.85002,YES
32214,41,High School,Fishing ,22,SINGLE,YES,2,80494.85002,NO
32216,30,High School,Fishing ,11,SINGLE,YES,3,95494.85002,YES
32231,28,Bachelor,Agriculture,8,SINGLE,YES,1,99494.85002,NO
32233,44,Master,Construction ,23,SINGLE,NO,3,73494.85002,YES
32239,50,Doctorate,Agriculture,28,SINGLE,YES,3,93494.85002,NO
32248,26,Doctorate,Construction ,4,SINGLE,NO,2,85494.85002,NO
32258,42,Bachelor,Energy ,22,MARRIED,NO,3,93494.85002,NO
32268,48,Bachelor,Construction ,28,SINGLE,YES,2,77494.85002,NO
32277,51,No schooling,Arts & Media,33,SINGLE,NO,0,75494.85002,NO
32283,25,Doctorate,Education ,3,SINGLE,NO,0,76494.85002,NO
32287,53,Master,Construction ,32,SINGLE,YES,1,90494.85002,NO
32289,38,High School,Fishing ,19,SINGLE,NO,3,86494.85002,NO
32291,28,High School,Fishing ,9,SINGLE,YES,3,88494.85002,NO
32306,29,Bachelor,Agriculture,9,SINGLE,YES,1,78494.85002,NO
32308,46,Master,Construction ,25,SINGLE,YES,2,80494.85002,NO
32314,26,Doctorate,Agriculture,4,MARRIED,YES,3,78494.85002,NO
32323,47,Doctorate,Construction ,25,SINGLE,NO,3,89494.85002,NO
32333,41,Bachelor,Energy ,21,SINGLE,YES,1,72494.85002,YES
32343,55,Bachelor,Construction ,35,MARRIED,NO,3,85494.85002,NO
32352,42,No schooling,Arts & Media,24,SINGLE,YES,0,75494.85002,YES
32358,46,Doctorate,Education ,24,SINGLE,NO,3,90494.85002,NO
32362,48,Master,Construction ,27,SINGLE,NO,1,68494.85002,NO
32364,29,High School,Fishing ,10,MARRIED,NO,2,72494.85002,NO
32366,28,High School,Fishing ,9,SINGLE,YES,1,68494.85002,NO
32381,46,Bachelor,Agriculture,26,SINGLE,NO,2,67494.85002,YES
32383,39,Master,Construction ,18,MARRIED,NO,3,68494.85002,NO
32389,28,Doctorate,Agriculture,6,SINGLE,YES,0,97494.85002,NO
32398,25,Doctorate,Construction ,3,SINGLE,NO,0,88494.85002,NO
32408,50,Bachelor,Energy ,30,SINGLE,NO,0,60494.85002,YES
32418,44,Bachelor,Construction ,24,MARRIED,YES,1,90494.85002,NO
32427,30,No schooling,Arts & Media,12,SINGLE,NO,2,66494.85002,YES
32433,45,Doctorate,Education ,23,SINGLE,NO,3,72494.85002,YES
32437,41,Master,Construction ,20,SINGLE,NO,0,74494.85002,NO
32439,32,High School,Fishing ,13,SINGLE,YES,1,71494.85002,YES
32441,41,High School,Fishing ,22,SINGLE,YES,0,76494.85002,NO
32456,34,Bachelor,Agriculture,14,MARRIED,YES,1,95494.85002,NO
32458,33,Master,Construction ,12,MARRIED,YES,0,99494.85002,YES
32464,49,Doctorate,Agriculture,27,SINGLE,NO,0,86494.85002,NO
32473,29,Doctorate,Construction ,7,MARRIED,NO,1,69494.85002,NO
32483,38,Bachelor,Energy ,18,SINGLE,NO,2,96494.85002,NO
32493,47,Bachelor,Construction ,27,MARRIED,YES,1,82494.85002,NO
32502,45,No schooling,Arts & Media,27,SINGLE,YES,2,77494.85002,NO
32508,45,Doctorate,Education ,23,SINGLE,NO,3,68494.85002,NO
32512,27,Master,Construction ,6,SINGLE,YES,2,65494.85002,YES
32514,50,High School,Fishing ,31,MARRIED,YES,3,88494.85002,YES
32516,44,High School,Fishing ,25,SINGLE,NO,1,74494.85002,NO
32531,53,Bachelor,Agriculture,33,SINGLE,YES,0,86494.85002,YES
32533,43,Master,Construction ,22,SINGLE,NO,2,72494.85002,NO
32539,35,Doctorate,Agriculture,13,SINGLE,YES,3,68494.85002,YES
32548,44,Doctorate,Construction ,22,SINGLE,YES,0,72494.85002,NO
32558,54,Bachelor,Energy ,34,SINGLE,NO,2,70494.85002,NO
32568,52,Bachelor,Construction ,32,SINGLE,NO,0,87494.85002,NO
32577,30,No schooling,Arts & Media,12,SINGLE,NO,3,70494.85002,NO
32583,39,Doctorate,Education ,17,MARRIED,YES,2,101494.85,NO
32587,26,Master,Construction ,5,SINGLE,YES,0,94494.85002,NO
32589,37,High School,Fishing ,18,MARRIED,NO,2,87494.85002,NO
32591,44,High School,Fishing ,25,SINGLE,NO,3,80494.85002,NO
32606,35,Bachelor,Agriculture,15,MARRIED,YES,0,79494.85002,NO
32608,41,Master,Construction ,20,MARRIED,NO,3,65494.85002,YES
32614,44,Doctorate,Agriculture,22,SINGLE,NO,0,69494.85002,NO
32623,42,Doctorate,Construction ,20,SINGLE,NO,3,97494.85002,NO
32633,44,Bachelor,Energy ,24,SINGLE,NO,3,98494.85002,YES
32643,37,Bachelor,Construction ,17,SINGLE,NO,2,73494.85002,YES
32652,34,No schooling,Arts & Media,16,MARRIED,YES,1,72494.85002,YES
32658,43,Doctorate,Education ,21,SINGLE,NO,2,73494.85002,NO
32662,47,Master,Construction ,26,SINGLE,YES,1,68494.85002,YES
32664,28,High School,Fishing ,9,SINGLE,YES,0,64494.85002,NO
32666,25,High School,Fishing ,6,MARRIED,YES,3,84494.85002,YES
32681,51,Bachelor,Agriculture,31,SINGLE,NO,0,86494.85002,NO
32683,32,Master,Construction ,11,SINGLE,NO,0,89494.85002,YES
32689,36,Doctorate,Agriculture,14,SINGLE,NO,0,76494.85002,YES
32698,36,Doctorate,Construction ,14,SINGLE,NO,3,69494.85002,YES
32708,42,Bachelor,Energy ,22,SINGLE,YES,0,91494.85002,YES
32718,41,Bachelor,Construction ,21,SINGLE,NO,2,74494.85002,NO
32727,29,No schooling,Arts & Media,11,SINGLE,NO,2,74494.85002,NO
32733,53,Doctorate,Education ,31,MARRIED,NO,2,93494.85002,NO
32737,55,Master,Construction ,34,SINGLE,NO,1,91494.85002,YES
32739,46,High School,Fishing ,27,MARRIED,YES,2,77494.85002,NO
32741,35,High School,Fishing ,16,MARRIED,YES,2,70494.85002,NO
32756,29,Bachelor,Agriculture,9,SINGLE,YES,1,73494.85002,NO
32758,40,Master,Construction ,19,SINGLE,NO,1,71494.85002,NO
32764,25,Doctorate,Agriculture,3,SINGLE,YES,1,71494.85002,NO
32773,55,Doctorate,Construction ,33,SINGLE,NO,1,78494.85002,NO
32783,55,Bachelor,Energy ,35,SINGLE,NO,0,92494.85002,NO
32793,42,Bachelor,Construction ,22,MARRIED,YES,2,89494.85002,YES
32802,41,No schooling,Arts & Media,23,SINGLE,NO,3,88494.85002,YES
32808,33,Doctorate,Education ,11,SINGLE,YES,0,82494.85002,YES
32812,46,Master,Construction ,25,SINGLE,NO,3,95494.85002,NO
32814,47,High School,Fishing ,28,MARRIED,YES,1,82494.85002,NO
32816,51,High School,Fishing ,32,SINGLE,YES,0,59494.85002,NO
32831,53,Bachelor,Agriculture,33,SINGLE,NO,2,81494.85002,NO
32833,45,Master,Construction ,24,MARRIED,NO,2,70494.85002,NO
32839,49,Doctorate,Agriculture,27,MARRIED,NO,3,90494.85002,NO
32848,54,Doctorate,Construction ,32,MARRIED,YES,3,100494.85,NO
32858,29,Bachelor,Energy ,9,SINGLE,NO,0,87494.85002,YES
32868,27,Bachelor,Construction ,7,SINGLE,NO,0,67494.85002,NO
32877,38,No schooling,Arts & Media,20,SINGLE,NO,3,74494.85002,NO
32883,26,Doctorate,Education ,4,SINGLE,NO,1,94494.85002,NO
32887,51,Master,Construction ,30,SINGLE,YES,0,68494.85002,YES
32889,49,High School,Fishing ,30,SINGLE,NO,2,73494.85002,NO
32891,30,High School,Fishing ,11,SINGLE,YES,2,74494.85002,NO
32906,51,Bachelor,Agriculture,31,SINGLE,YES,1,77494.85002,NO
32908,48,Master,Construction ,27,MARRIED,YES,2,77494.85002,NO
32914,37,Doctorate,Agriculture,15,MARRIED,NO,2,84494.85002,NO
32923,48,Doctorate,Construction ,26,MARRIED,NO,3,75494.85002,NO
32933,49,Bachelor,Energy ,29,SINGLE,NO,0,81494.85002,YES
32943,47,Bachelor,Construction ,27,SINGLE,YES,1,82494.85002,NO
32952,28,No schooling,Arts & Media,10,MARRIED,YES,0,62494.85002,NO
32958,42,Doctorate,Education ,20,MARRIED,YES,2,84494.85002,NO
32962,51,Master,Construction ,30,SINGLE,YES,2,65494.85002,NO
32964,29,High School,Fishing ,10,MARRIED,YES,0,93494.85002,NO
32966,42,High School,Fishing ,23,SINGLE,YES,1,65494.85002,NO
32981,25,Bachelor,Agriculture,5,SINGLE,YES,2,83494.85002,YES
32983,39,Master,Construction ,18,SINGLE,YES,0,84494.85002,NO
32989,48,Doctorate,Agriculture,26,SINGLE,NO,0,77494.85002,NO
32998,42,Doctorate,Construction ,20,SINGLE,NO,0,99494.85002,NO
33008,40,Bachelor,Energy ,20,MARRIED,YES,3,71494.85002,YES
33018,41,Bachelor,Construction ,21,MARRIED,NO,2,79494.85002,NO
33027,45,No schooling,Arts & Media,27,MARRIED,YES,1,79494.85002,NO
33033,44,Doctorate,Education ,22,SINGLE,YES,2,68494.85002,NO
33037,25,Master,Construction ,4,SINGLE,NO,3,69494.85002,NO
33039,41,High School,Fishing ,22,SINGLE,YES,3,95494.85002,YES
33041,33,High School,Fishing ,14,SINGLE,YES,0,73494.85002,NO
33056,52,Bachelor,Agriculture,32,SINGLE,YES,1,91494.85002,NO
33058,35,Master,Construction ,14,SINGLE,YES,0,84494.85002,NO
33064,50,Doctorate,Agriculture,28,SINGLE,YES,1,95494.85002,NO
33073,54,Doctorate,Construction ,32,MARRIED,NO,1,89494.85002,YES
33083,37,Bachelor,Energy ,17,SINGLE,YES,0,90494.85002,NO
33093,45,Bachelor,Construction ,25,SINGLE,NO,1,64494.85002,NO
33102,33,No schooling,Arts & Media,15,SINGLE,NO,1,86494.85002,NO
33108,46,Doctorate,Education ,24,MARRIED,NO,2,95494.85002,NO
33112,47,Master,Construction ,26,SINGLE,NO,0,93494.85002,YES
33114,30,High School,Fishing ,11,SINGLE,NO,2,84494.85002,NO
33116,30,High School,Fishing ,11,SINGLE,YES,3,62494.85002,YES
33131,42,Bachelor,Agriculture,22,MARRIED,NO,0,92494.85002,YES
33133,50,Master,Construction ,29,SINGLE,YES,1,91494.85002,YES
33139,27,Doctorate,Agriculture,5,MARRIED,YES,2,87494.85002,NO
33148,26,Doctorate,Construction ,4,SINGLE,YES,2,72494.85002,YES
33158,55,Bachelor,Energy ,35,SINGLE,YES,3,69494.85002,NO
33168,52,Bachelor,Construction ,32,MARRIED,YES,3,89494.85002,YES
33177,42,No schooling,Arts & Media,24,SINGLE,YES,1,71494.85002,NO
33183,38,Doctorate,Education ,16,SINGLE,NO,2,92494.85002,YES
33187,39,Master,Construction ,18,SINGLE,YES,2,83494.85002,NO
33189,39,High School,Fishing ,20,SINGLE,YES,3,81494.85002,NO
33191,44,High School,Fishing ,25,MARRIED,NO,1,72494.85002,NO
33206,37,Bachelor,Agriculture,17,SINGLE,YES,3,84494.85002,NO
33208,43,Master,Construction ,22,SINGLE,NO,0,80494.85002,NO
33214,48,Doctorate,Agriculture,26,SINGLE,NO,1,89494.85002,NO
33223,46,Doctorate,Construction ,24,SINGLE,YES,1,71494.85002,YES
33233,34,Bachelor,Energy ,14,MARRIED,NO,0,66494.85002,YES
33243,51,Bachelor,Construction ,31,MARRIED,YES,1,74494.85002,NO
33252,50,No schooling,Arts & Media,32,MARRIED,YES,0,67494.85002,NO
33258,55,Doctorate,Education ,33,SINGLE,YES,0,73494.85002,NO
33262,30,Master,Construction ,9,SINGLE,NO,2,63494.85002,NO
33264,37,High School,Fishing ,18,MARRIED,NO,3,62494.85002,NO
33266,55,High School,Fishing ,36,SINGLE,NO,2,79494.85002,YES
33281,37,Bachelor,Agriculture,17,SINGLE,YES,2,86494.85002,NO
33283,49,Master,Construction ,28,SINGLE,NO,2,92494.85002,YES
33289,33,Doctorate,Agriculture,11,SINGLE,YES,2,102494.85,NO
33298,47,Doctorate,Construction ,25,SINGLE,YES,0,80494.85002,NO
33308,47,Bachelor,Energy ,27,SINGLE,NO,3,85494.85002,YES
33318,32,Bachelor,Construction ,12,MARRIED,YES,3,64494.85002,NO
33327,28,No schooling,Arts & Media,10,SINGLE,NO,2,84494.85002,NO
33333,41,Doctorate,Education ,19,SINGLE,YES,0,75494.85002,YES
33337,26,Master,Construction ,5,MARRIED,YES,2,85494.85002,NO
33339,45,High School,Fishing ,26,SINGLE,NO,1,78494.85002,YES
33341,55,High School,Fishing ,36,SINGLE,YES,0,92494.85002,NO
33356,51,Bachelor,Agriculture,31,SINGLE,NO,3,70494.85002,NO
33358,52,Master,Construction ,31,SINGLE,NO,0,85494.85002,YES
33364,37,Doctorate,Agriculture,15,SINGLE,NO,3,96494.85002,NO
33373,47,Doctorate,Construction ,25,SINGLE,NO,2,71494.85002,NO
33383,31,Bachelor,Energy ,11,SINGLE,NO,2,66494.85002,NO
33393,49,Bachelor,Construction ,29,MARRIED,NO,2,88494.85002,YES
33402,53,No schooling,Arts & Media,35,SINGLE,YES,1,74494.85002,NO
33408,38,Doctorate,Education ,16,SINGLE,NO,1,64494.85002,YES
33412,40,Master,Construction ,19,MARRIED,YES,1,94494.85002,YES
33414,43,High School,Fishing ,24,SINGLE,NO,3,60494.85002,NO
33416,32,High School,Fishing ,13,SINGLE,YES,3,63494.85002,NO
33431,46,Bachelor,Agriculture,26,SINGLE,NO,0,74494.85002,NO
33433,52,Master,Construction ,31,SINGLE,NO,0,95494.85002,NO
33439,45,Doctorate,Agriculture,23,MARRIED,NO,0,93494.85002,NO
